Name,Age,Gender,Math,Physics,CS,Passed
Liam,18,M,100,41,87,Yes
Henry,24,F,38,84,36,No
Ivy,23,F,53,92,65,Yes
Eva,20,F,44,57,35,No
Uma,24,F,90,77,64,Yes
Diana,24,M,33,58,0,No
Charlie,19,M,44,58,33,No
Grace,25,M,81,38,39,No
Diana,23,M,36,63,45,No
Olivia,24,F,64,38,83,Yes
Frank,18,F,54,71,62,Yes
Charlie,20,M,89,49,70,Yes
Diana,19,M,45,70,42,No
Bob,21,M,97,51,63,Yes
Paul,22,F,31,72,81,Yes
Grace,23,M,49,37,94,Yes
Charlie,24,M,65,63,72,Yes
Grace,23,F,88,59,66,Yes
Bob,23,F,56,37,82,No
Mia,23,M,90,78,75,Yes
Jack,22,F,63,84,79,Yes
Grace,21,F,45,78,59,Yes
Quinn,20,M,83,51,32,No
Paul,20,M,63,96,55,Yes
Rachel,20,F,81,35,99,Yes
Steve,19,M,45,91,93,Yes
Steve,18,F,97,37,37,No
Alice,25,M,56,48,66,No
Bob,25,F,74,67,86,Yes
Mia,20,F,52,63,34,No
Bob,19,F,45,55,90,Yes
Olivia,19,F,36,91,63,Yes
Henry,21,F,74,88,33,Yes
Steve,24,M,37,93,66,Yes
Diana,21,F,100,74,71,Yes
Uma,19,F,36,54,99,Yes
Charlie,24,M,57,39,90,Yes
Rachel,18,F,34,65,82,Yes
Rachel,18,F,54,35,55,No
Mia,20,F,100,62,60,Yes
Grace,18,F,81,64,39,Yes
Quinn,19,F,50,73,72,Yes
Jack,20,F,51,64,45,No
Steve,22,F,89,80,58,Yes
Mia,20,M,84,59,95,Yes
Frank,24,F,93,84,46,Yes
Charlie,19,M,63,78,54,Yes
Charlie,23,F,47,96,94,Yes
Ivy,23,F,35,46,54,No
Paul,21,M,80,67,40,Yes
Jack,25,M,52,42,93,Yes
Eva,24,M,44,55,47,No
Eva,25,F,94,31,32,No
Jack,25,M,94,83,63,Yes
Grace,25,M,70,35,67,No
Jack,22,M,39,66,60,No
Olivia,21,M,85,47,91,Yes
Tom,21,M,84,49,36,No
Jack,19,F,94,98,43,Yes
Olivia,21,F,46,68,49,No
Tom,19,F,97,51,92,Yes
Paul,22,M,54,51,88,Yes
Henry,24,M,73,59,82,Yes
Quinn,20,M,55,68,63,Yes
Tom,25,M,75,90,93,Yes
Tom,20,M,51,80,31,No
Diana,23,M,35,63,63,No
Eva,24,M,52,61,42,No
Mia,23,F,46,39,33,No
Uma,18,F,32,35,34,No
Ivy,18,M,70,50,94,Yes
Charlie,24,F,87,43,54,Yes
Bob,25,F,40,88,38,No
Henry,22,M,57,36,90,Yes
Paul,20,M,54,55,31,No
Ivy,23,M,42,47,45,No
Alice,18,F,84,87,51,Yes
Charlie,24,M,95,67,50,Yes
Eva,21,F,84,54,97,Yes
Quinn,25,F,67,79,99,Yes
Bob,21,F,80,53,56,Yes
Steve,21,M,97,83,41,Yes
Liam,23,F,81,45,31,No
Rachel,19,M,96,72,57,Yes
Ivy,23,M,39,40,79,No
Tom,20,M,90,76,88,Yes
Henry,23,M,48,44,39,No
Steve,22,M,47,68,52,No
Eva,21,F,52,75,37,No
Mia,24,M,90,52,57,Yes
Uma,23,F,97,84,34,Yes
Olivia,25,M,36,76,82,Yes
Eva,24,M,78,32,35,No
Rachel,25,M,43,33,83,No
Charlie,18,M,36,74,90,Yes
Quinn,23,M,77,32,78,Yes
Olivia,25,F,80,54,68,Yes
Jack,20,M,84,69,91,Yes
Diana,21,M,53,94,46,Yes
Charlie,24,F,32,66,66,No
Alice,19,M,52,45,41,No
Liam,24,F,99,62,34,Yes
Alice,18,F,95,65,98,Yes
Tom,19,M,65,72,68,Yes
Paul,23,M,59,87,73,Yes
Alice,18,F,92,98,44,Yes
Bob,18,M,87,100,55,Yes
Olivia,20,M,46,98,80,Yes
Jack,23,F,52,95,80,Yes
Tom,21,M,41,68,41,No
Mia,21,F,94,91,91,Yes
Bob,21,F,89,37,55,Yes
Eva,23,F,98,93,92,Yes
Liam,22,F,54,39,53,No
Grace,24,M,46,97,43,Yes
Quinn,18,M,95,57,99,Yes
Olivia,18,M,90,63,43,Yes
Alice,18,M,90,91,59,Yes
Quinn,19,M,54,83,47,Yes
Bob,19,F,88,79,83,Yes
Rachel,24,F,96,35,44,No
Uma,23,M,49,66,59,No
Diana,18,M,58,54,47,No
Paul,23,M,100,39,32,No
Steve,23,F,86,56,48,Yes
Charlie,24,M,63,85,58,Yes
Liam,25,M,100,92,47,Yes
Alice,24,F,90,71,57,Yes
Frank,24,F,88,56,65,Yes
Bob,25,F,92,34,97,Yes
Noah,22,F,37,40,77,No
Alice,21,M,48,77,96,Yes
Uma,20,F,45,30,61,No
Quinn,23,F,57,30,90,No
Liam,22,F,55,91,82,Yes
Jack,18,F,42,62,92,Yes
Alice,21,M,49,60,37,No
Alice,20,F,88,86,55,Yes
Rachel,18,F,30,72,70,No
Alice,19,M,80,39,77,Yes
Eva,19,M,82,98,60,Yes
Noah,25,F,100,62,74,Yes
Diana,25,F,34,44,73,No
Rachel,25,F,71,60,94,Yes
Charlie,22,M,91,31,100,Yes
Uma,24,F,40,36,96,No
Diana,23,M,86,53,76,Yes
Tom,19,F,60,55,39,No
Olivia,18,F,80,67,68,Yes
Alice,19,M,68,90,68,Yes
Diana,22,M,81,53,75,Yes
Jack,24,F,52,58,94,Yes
Charlie,22,F,52,62,98,Yes
Uma,25,M,96,38,75,Yes
Olivia,18,F,86,100,31,Yes
Olivia,18,M,86,70,70,Yes
Olivia,21,F,36,74,76,Yes
Bob,20,F,63,67,78,Yes
Frank,18,M,66,44,80,Yes
Charlie,21,F,72,84,96,Yes
Tom,20,F,88,94,89,Yes
Henry,19,M,59,91,60,Yes
Grace,20,F,97,32,74,Yes
Tom,20,F,49,84,81,Yes
Uma,20,M,53,51,97,Yes
Uma,23,F,44,99,97,Yes
Jack,20,M,72,92,52,Yes
Steve,20,F,54,91,51,Yes
Frank,18,M,43,85,74,Yes
Noah,19,F,63,95,49,Yes
Diana,25,M,74,54,42,No
Ivy,23,F,65,39,60,No
Quinn,21,M,64,36,61,No
Jack,19,M,75,43,43,No
Tom,23,F,44,53,87,Yes
Olivia,20,M,46,59,71,No
Grace,21,F,72,94,44,Yes
Charlie,18,F,58,86,86,Yes
Rachel,19,F,72,85,63,Yes
Mia,19,F,68,79,81,Yes
Tom,25,F,97,37,67,Yes
Diana,21,F,99,83,30,Yes
Eva,20,M,100,31,89,Yes
Mia,23,F,59,96,94,Yes
Quinn,25,M,54,86,56,Yes
Ivy,19,F,36,57,66,No
Frank,25,F,88,98,44,Yes
Eva,18,M,65,65,61,Yes
Henry,18,M,70,46,32,No
Noah,18,F,49,75,50,No
Henry,24,M,46,55,33,No
Alice,25,F,60,86,36,Yes
Eva,19,M,91,34,35,No
Paul,25,M,57,59,40,No
Tom,23,F,50,83,84,Yes
Olivia,21,F,58,53,77,Yes
Tom,25,F,60,80,87,Yes
Diana,19,F,58,42,75,No
Grace,22,F,59,45,84,Yes
Olivia,23,M,51,98,64,Yes
Mia,19,F,84,51,80,Yes
Frank,23,F,53,76,50,No
Liam,24,M,64,41,94,Yes
Frank,21,M,95,75,43,Yes
Mia,19,F,40,55,79,No
Quinn,18,M,50,93,75,Yes
Liam,18,M,52,79,43,No
Bob,25,M,91,63,94,Yes
Alice,24,F,59,88,100,Yes
Diana,24,F,51,31,92,No
Olivia,20,F,76,93,36,Yes
Uma,23,F,48,63,68,No
Alice,20,M,91,82,98,Yes
Charlie,24,M,89,60,92,Yes
Liam,18,M,46,50,93,Yes
Steve,18,M,52,98,56,Yes
Charlie,22,F,32,72,36,No
Eva,21,M,62,55,40,No
Diana,20,M,49,57,32,No
Jack,24,M,75,97,89,Yes
